global_entity_id,avg_conversion_details,avg_conversion_checkout,avg_conversion_order
DJ_CZ,-0.16498594662574806,-0.06735980394556586,-0.040942281430234546
EF_GR,-0.35713684092252973,0.0,
FO_NO,-0.08961054607294738,-0.10956718880295928,-0.03220431317487215
FP_BD,-0.4122531997524368,-0.31558291665440963,-0.006773557337224128
FP_DE,-0.20080601309217094,-0.5691238066010342,0.0
FP_HK,-0.09884426944427789,-0.04387673693868271,-0.044797823260594456
FP_KH,-0.2447497677481626,-0.2963795928359929,-0.016291681365780755
FP_LA,-0.24218905064129018,-0.2074261210343695,0.04708968141009536
FP_MM,-0.2539196530649842,0.05016537334514482,0.20731196157507004
FP_MY,-0.15644573553533253,-0.1853805883481529,-0.04943802525713423
FP_PH,-0.19544355057352497,-0.23847921999145216,-0.061166974441482856
FP_PK,-0.27160784843354163,-0.2660186543468952,0.18485953531460766
FP_SG,-0.19773804217810037,-0.1866001088940504,-0.01459934523380291
FP_TH,-0.2756087203097116,-0.13411230194841023,-0.05335431804321719
FP_TW,-0.03924630597589215,-0.027504203973190505,-0.008967929044790223
HF_EG,-0.16221221023848975,-0.058678563346363746,-0.0077047303547940075
HS_SA,-0.05897871556102317,-0.03708357808722455,-0.17286829395955142
MJM_AT,-0.05646807137371536,0.08851268187040207,-0.03201924053790785
NP_HU,-0.2022440061034294,-0.14668694811632257,-0.043773628266851286
OP_SE,-0.057333222620399596,-0.02771304981999532,-0.037800035837542705
PO_FI,-0.13018404292676009,-0.04083777470534064,-0.04822527664741645
TB_AE,-0.1649519672337074,-0.09107515193916091,-0.016381277621882646
TB_BH,-0.17229230382732913,-0.22733117414039616,0.03611446569376831
TB_IQ,-0.056311071990355364,-0.2630951642089777,-0.037684257751285526
TB_JO,-0.14190689168006762,-0.16710499010997037,-0.01624212979421169
TB_KW,-0.1221243070751166,-0.1012911327620971,-0.012172340136185877
TB_OM,-0.13311208654081763,-0.17284778903720843,0.01013094389090782
TB_QA,-0.24730184705630526,-0.028400610149015057,-0.028561983755856377
YS_TR,-0.141400515750553,-0.2827352125654432,-0.0010011629958463426
