brand_name,total_orders_target,total_flgp_target,flgp_impact_incremental,orders_impact_incremental,fully_loaded_gross_profit_eur_2023,fully_loaded_gross_profit_eur_2024,total_orders_2024,total_orders_2023,perc_flgp,perc_orders
Foodora,51358869.07626428,(101485126.18918672+2981137.4227502164j),(-1351605.0329971518+2981137.4227502164j),786110.8437357405,116666484.73302926,102836731.22218387,50572758.23252853,41949707.0,(-0.01244462148907523+0.02974067888487145j),0.015306233526451326
Foodpanda,502153174.86873996,(306958498.0892354+0j),(1775293.9973887727+0j),8000420.357133951,331611121.44443333,305183204.09184664,494152754.5116061,548328397.0,(0.0057834984482908166+0j),0.015932230955674465
Foody,5151232.916304381,(6318745.791864134+0j),(-317246.7875397771+0j),9109.128216816403,2529987.3673945875,6635992.579403912,5142123.7880875645,2641885.0,(-0.05020724016912605+0j),0.0017683394179255076
HungerStation,160804257.4711837,(528635871.0367927+0j),(-1312221.3568917438+0j),1359290.9316655993,425304262.1161627,529948092.39368445,159444966.5395181,142865673.0,(-0.002482278310622652+0j),0.00845307800329345
PedidosYa,200478172.6784435,(269127694.122626+0j),(45898932.482079126+0j),1586590.0305434396,215074483.9348809,223228761.64054686,198891582.64790004,174698206.0,(0.17054704322315348+0j),0.00791402879099585
Talabat,310592559.6058624,(583185278.9922694+373390.2000356627j),(7748152.105336017+373390.2000356627j),1243930.7609609384,415608756.221316,575437126.8869333,309348628.8449015,232334442.0,(0.013286323017637627+0.0006317532875023965j),0.004005024339731348
Yemeksepeti,115558493.10210094,(49909718.58902335+0j),(3313613.7009201483+0j),415160.79210305493,1996775.7888999372,46596104.8881032,115143332.30999789,33035636.0,(0.06639215356443448+0j),0.0035926462950346917
eFood,21029319.567275498,(45606452.2163928+0j),(19254303.43308042+0j),-10450.840774525655,3586599.117297705,26352148.783312377,21039770.408050023,8404450.0,(0.42218375903749084+0j),-0.0004969652366112974
Total,1367126079.2861748,(1891227385.0273907+3354527.6227858793j),(75009222.54137582+3354527.6227858793j),13390162.003585014,1512378470.7234144,1816218162.4860146,1353735917.28259,1184258396.0,(0.03966468398095078+0.0017033760034497651j),0.009794387076996217
